UNIQUE_KEY,PRODUCT_TITLE,PRODUCT_DESCRIPTION,STYLE#,AVAILABLE_SIZES,BRAND_LOGO_IMAGE,THUMBNAIL_IMAGE,COLOR_SWATCH_IMAGE,PRODUCT_IMAGE,SPEC_SHEET,FRONT_FLAT,BACK_FLAT,FRONT_MODEL,BACK_MODEL,SIDE_MODEL,THREE_Q_MODEL,PRICE_TEXT,COLOR_NAME,COLOR_SQUARE_IMAGE,COLOR_PRODUCT_IMAGE,COLOR_PRODUCT_IMAGE_THUMBNAIL,SIZE,PIECE_WEIGHT,PIECE_PRICE,DOZEN_PRICE,CASE_PRICE,PIECE_SALE_PRICE,DOZEN_SALE_PRICE,CASE_SALE_PRICE,SALE_START_DATE,SALE_END_DATE,CASE_SIZE,INVENTORY_KEY,SIZE_INDEX,CATALOG_COLOR,PRICE_CODE,PRODUCT_STATUS,TITLE_IMAGE,BRAND_NAME,KEYWORDS
"78642","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","S","0.375","3.81","3.31","2.81",2.81,2.81,2.81,"","","72","7864","2","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"78643","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","M","0.4427","3.81","3.31","2.81",2.81,2.81,2.81,"","","72","7864","3","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"78644","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","L","0.4792","3.81","3.31","2.81",2.81,2.81,2.81,"","","72","7864","4","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"78645","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","XL","0.5313","3.81","3.31","2.81",2.81,2.81,2.81,"","","72","7864","5","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"153201","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","2XL","0.6823","5.62","5.12","4.62",4.62,4.62,4.62,"","","36","15320","1","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"153212","Hanes - ComfortSoft 100% Cotton T-Shirt. 5280","5.2-ounce  100% ComfortSoft cotton     99/1 cotton/poly (Ash)     90/10 cotton/poly (Light Steel)     Double-needle coverseamed crewneck     Lay-flat collar     Tag-free label     Shoulder-to-shoulder taping     Double-needle sleeves and hem     Please note: This product is transitioning from tag-free labels to tearaway labels. Your order may contain a combination of both.","5280","Adult Sizes: S-3XL","https://cdnl.sanmar.com/catalog/images/hanesheader.jpg","https://cdnl.sanmar.com/catalog/images/5280TN.jpg","https://cdnl.sanmar.com/catalog/images/5280sw.jpg","https://cdnl.sanmar.com/catalog/images/5280.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/5280_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_front.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2014/f19/5280_orange_flat_back.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_orange_model_3q_032017.jpg","Price applies to sizes S-XL","Orange","https://cdnl.sanmar.com/swatch/gifs/HANES_orange_5280.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f5/5280_orange_model_front_032017.jpg","3XL","0.7448","6.37","5.87","5.37",5.37,5.37,5.37,"","","36","15321","2","ORANGE","A","Active","","Hanes","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  t shirt  t-shirt  tshirt  t shirts  t-shirts crew  crew tee  crew neck  crewneck  crew-neck  tshirts  tee shirt  teeshirt  tee-shirt Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved heavyweight  heavy weight  heavy-weight  comfortsoft  cotton  5.2-ounce  double-needle  s m l xl 2xl xxl 3xl xxxl  tagless  no tags  tag-free  tag free  shirts without tags  t-shirts without tags without tags ",
"263762","Gildan - Ultra Cotton 100% Cotton T-Shirt. 2000","6.1-ounce  100% cotton)     50/50 cotton/poly (Dark Heather  Safety Pink  Safety Green  Safety Orange  Heathered Cardinal  Heathered Indigo  Heathered Navy  Heathered Sapphire)     99/1 cotton/poly (Ash)     90/10 cotton/poly (Sports Grey  Antique Cherry Red  Antique Irish Green  Antique Royal)     Seamless double-needle 7/8' collar     Double-needle sleeves and hem     Taped neck and shoulders     Tubular     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","2000","Adult Sizes: S-5XL<br>Sizes available vary by color.","https://cdnl.sanmar.com/catalog/images/gildanheader.jpg","https://cdnl.sanmar.com/catalog/images/2000TN.jpg","https://cdnl.sanmar.com/catalog/images/2000sw.jpg","https://cdnl.sanmar.com/catalog/images/2000.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/2000_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2000_Sapphire_Flat_Front_2009.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2000_Sapphire_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_3q_032017.jpg","Price applies to sizes S-XL","Sapphire","https://cdnl.sanmar.com/swatch/gifs/Gildan_Sapphire.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f4/2000_sapphire_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f4/2000_sapphire_model_front_032017.jpg","S","0.4219","4.22","3.72","3.22",3.22,3.22,3.22,"","","72","26376","2","Sapphire","A","Active","","Gildan","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  dtg  digital textile printing  digital textile print  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  5XL  male  males ultra cotton  t shirt  t-shirt  tshirt  t shirts  t-shirts  tshirts  tee shirt  teeshirt  tee-shirt  Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved  men  men's  mens  100% cotton  cotton  preshrunk  pre-shrunk  pre shrunk  poly  polyester  s  m  l  xl  xxl  xxxl  xxxxl  xxxxxl  1xl  2xl  3xl  4xl  5xl jersey  jersey knit  tubular",
"263763","Gildan - Ultra Cotton 100% Cotton T-Shirt. 2000","6.1-ounce  100% cotton)     50/50 cotton/poly (Dark Heather  Safety Pink  Safety Green  Safety Orange  Heathered Cardinal  Heathered Indigo  Heathered Navy  Heathered Sapphire)     99/1 cotton/poly (Ash)     90/10 cotton/poly (Sports Grey  Antique Cherry Red  Antique Irish Green  Antique Royal)     Seamless double-needle 7/8' collar     Double-needle sleeves and hem     Taped neck and shoulders     Tubular     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","2000","Adult Sizes: S-5XL<br>Sizes available vary by color.","https://cdnl.sanmar.com/catalog/images/gildanheader.jpg","https://cdnl.sanmar.com/catalog/images/2000TN.jpg","https://cdnl.sanmar.com/catalog/images/2000sw.jpg","https://cdnl.sanmar.com/catalog/images/2000.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/2000_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2000_Sapphire_Flat_Front_2009.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2000_Sapphire_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_3q_032017.jpg","Price applies to sizes S-XL","Sapphire","https://cdnl.sanmar.com/swatch/gifs/Gildan_Sapphire.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f4/2000_sapphire_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f4/2000_sapphire_model_front_032017.jpg","M","0.4792","4.22","3.72","3.22",3.22,3.22,3.22,"","","72","26376","3","Sapphire","A","Active","","Gildan","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  dtg  digital textile printing  digital textile print  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  5XL  male  males ultra cotton  t shirt  t-shirt  tshirt  t shirts  t-shirts  tshirts  tee shirt  teeshirt  tee-shirt  Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved  men  men's  mens  100% cotton  cotton  preshrunk  pre-shrunk  pre shrunk  poly  polyester  s  m  l  xl  xxl  xxxl  xxxxl  xxxxxl  1xl  2xl  3xl  4xl  5xl jersey  jersey knit  tubular",
"263764","Gildan - Ultra Cotton 100% Cotton T-Shirt. 2000","6.1-ounce  100% cotton)     50/50 cotton/poly (Dark Heather  Safety Pink  Safety Green  Safety Orange  Heathered Cardinal  Heathered Indigo  Heathered Navy  Heathered Sapphire)     99/1 cotton/poly (Ash)     90/10 cotton/poly (Sports Grey  Antique Cherry Red  Antique Irish Green  Antique Royal)     Seamless double-needle 7/8' collar     Double-needle sleeves and hem     Taped neck and shoulders     Tubular     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","2000","Adult Sizes: S-5XL<br>Sizes available vary by color.","https://cdnl.sanmar.com/catalog/images/gildanheader.jpg","https://cdnl.sanmar.com/catalog/images/2000TN.jpg","https://cdnl.sanmar.com/catalog/images/2000sw.jpg","https://cdnl.sanmar.com/catalog/images/2000.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/2000_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2000_Sapphire_Flat_Front_2009.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2000_Sapphire_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_3q_032017.jpg","Price applies to sizes S-XL","Sapphire","https://cdnl.sanmar.com/swatch/gifs/Gildan_Sapphire.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f4/2000_sapphire_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f4/2000_sapphire_model_front_032017.jpg","L","0.5105","4.22","3.72","3.22",3.22,3.22,3.22,"","","72","26376","4","Sapphire","A","Active","","Gildan","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  dtg  digital textile printing  digital textile print  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  5XL  male  males ultra cotton  t shirt  t-shirt  tshirt  t shirts  t-shirts  tshirts  tee shirt  teeshirt  tee-shirt  Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved  men  men's  mens  100% cotton  cotton  preshrunk  pre-shrunk  pre shrunk  poly  polyester  s  m  l  xl  xxl  xxxl  xxxxl  xxxxxl  1xl  2xl  3xl  4xl  5xl jersey  jersey knit  tubular",
"263765","Gildan - Ultra Cotton 100% Cotton T-Shirt. 2000","6.1-ounce  100% cotton)     50/50 cotton/poly (Dark Heather  Safety Pink  Safety Green  Safety Orange  Heathered Cardinal  Heathered Indigo  Heathered Navy  Heathered Sapphire)     99/1 cotton/poly (Ash)     90/10 cotton/poly (Sports Grey  Antique Cherry Red  Antique Irish Green  Antique Royal)     Seamless double-needle 7/8' collar     Double-needle sleeves and hem     Taped neck and shoulders     Tubular     Due to the nature of 50/50 cotton/poly neon fabrics  special care must be taken throughout the printing process.","2000","Adult Sizes: S-5XL<br>Sizes available vary by color.","https://cdnl.sanmar.com/catalog/images/gildanheader.jpg","https://cdnl.sanmar.com/catalog/images/2000TN.jpg","https://cdnl.sanmar.com/catalog/images/2000sw.jpg","https://cdnl.sanmar.com/catalog/images/2000.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/2000_specsheet.pdf","https://cdnl.sanmar.com/imglib/mresjpg/2000_Sapphire_Flat_Front_2009.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2000_Sapphire_Flat_Back_2010.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_front_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_back_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_side_032017.jpg","https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/2000_sapphire_model_3q_032017.jpg","Price applies to sizes S-XL","Sapphire","https://cdnl.sanmar.com/swatch/gifs/Gildan_Sapphire.gif","https://cdnl.sanmar.com/catalog/images/imglib/catl/2017/f4/2000_sapphire_model_front_032017.jpg","https://cdnl.sanmar.com/cache/altview/imglib/catl/2017/f4/2000_sapphire_model_front_032017.jpg","XL","0.5834","4.22","3.72","3.22",3.22,3.22,3.22,"","","72","26376","5","Sapphire","A","Active","","Gildan","embroidery  embroider  embroidering  screen printing  screenprinting  screen-printing  screen print  screenprint  screen-print  heat transfer  heat transfering  heat-transfering  heat seal  heat sealing  heat-sealing  heat-transfer  heat-seal  heattransfer  heatseal  dtg  digital textile printing  digital textile print  pad print  pad printing  pad-printing  pad-print  padprint  padprinting  5XL  male  males ultra cotton  t shirt  t-shirt  tshirt  t shirts  t-shirts  tshirts  tee shirt  teeshirt  tee-shirt  Short sleeve  short sleeves  short sleeved  shortsleeve  shortsleeves  shortsleeved  short-sleeve  short-sleeves  short-sleeved  men  men's  mens  100% cotton  cotton  preshrunk  pre-shrunk  pre shrunk  poly  polyester  s  m  l  xl  xxl  xxxl  xxxxl  xxxxxl  1xl  2xl  3xl  4xl  5xl jersey  jersey knit  tubular",
